id_venta,fecha,id_producto,cantidad,precio_unitario,sucursal,metodo_pago
V0001,2026-04-14,P025,1,945,Paraiso,Tarjeta
V0001,2026-04-14,P016,2,1200,Paraiso,Tarjeta
V0002,2026-05-05,P022,2,3500,Paraiso,Transferencia
V0003,2026-03-08,P008,1,2470,Cartago,Transferencia
V0003,2026-03-08,P027,3,1418,Cartago,Transferencia
V0003,2026-03-08,P019,1,2362,Cartago,Transferencia
V0004,2026-01-23,P027,4,1350,Paraiso,Efectivo
V0004,2026-01-23,P011,2,1045,Paraiso,Efectivo
V0004,2026-01-23,P028,3,1100,Paraiso,Efectivo
V0005,2026-07-16,P002,4,1450,Oreamuno,Tarjeta
V0006,2026-07-09,P026,4,1680,Paraiso,Efectivo
V0006,2026-07-09,P002,1,1378,Paraiso,Efectivo
V0006,2026-07-09,P014,3,2945,Paraiso,Efectivo
V0006,2026-07-09,P023,2,1282,Paraiso,Efectivo
V0007,2026-03-10,P012,4,618,Paraiso,SINPE
V0007,2026-03-10,P017,,950,Paraiso,SINPE
V0007,2026-03-10,P016,1,1260,Paraiso,SINPE
V0007,2026-03-10,P020,1,1208,Paraiso,SINPE
V0008,2026-09-01,P026,4,1520,Cartago,TARJETA
V0009,2026-05-30,P003,1,902,Oreamuno,Tarjeta
V0010,2026-08-05,P021,4,2280,Paraiso,Efectivo
V0010,2026-08-05,P018,1,998,Paraiso,Efectivo
V0010,2026-08-05,P024,2,2100,Paraiso,Efectivo
V0011,2026-05-02,P013,1,2625,Oreamuno,Tarjeta
V0011,2026-05-02,P020,1,1150,Oreamuno,Tarjeta
V0011,2026-05-02,P026,1,1520,Oreamuno,Tarjeta
V0011,2026-05-02,P011,2,1100,Oreamuno,Tarjeta
V0012,2026-05-05,P007,1,892,Oreamuno,Efectivo
V0012,2026-05-05,P022,1,3325,Oreamuno,Efectivo
V0012,2026-05-05,P016,1,1200,Oreamuno,Efectivo
V0012,2026-05-05,P008,2,2470,Oreamuno,Efectivo
V0013,2026-03-15,P026,1,1520,Paraiso ,Tarjeta
V0013,2026-03-15,P006,4,3200,Paraiso ,Tarjeta
V0014,2026-03-01,P010,3,2800,Oreamuno,Tarjeta
V0015,2026-04-10,P009,3,1750,Paraiso,Transferencia
V0015,2026-04-10,P025,4,855,Paraiso,Transferencia
V0015,2026-04-10,P026,3,1600,Paraiso,Transferencia
V0016,2026-01-30,P019,4,2362,Cartago,SINPE
V0016,2026-01-30,P009,1,1838,Cartago,SINPE
V0017,2026-06-13,P027,1,1282,Cartago,Transferencia
V0018,2026-02-06,P025,3,855,Cartago,Transferencia
V0019,2026-09-05,P025,3,945,Oreamuno,Transferencia
V0019,2026-09-05,P014,3,2945,Oreamuno,Transferencia
V0020,2026-09-09,P005,3,1418,Paraiso,Efectivo
V0020,2026-09-09,P023,2,1418,Paraiso,Efectivo
V0020,2026-09-09,P004,3,1800,Paraiso,Efectivo
V0021,2026-09-12,P023,4,1350,Cartago,Transferencia
V0021,2026-09-12,P027,4,1350,Cartago,Transferencia
V0022,2026-03-25,P025,1,900,Cartago,SINPE
V0022,2026-03-25,P002,2,1522,Cartago,SINPE
V0023,2026-08-24,P029,3,1850,Cartago,Tarjeta
V0023,2026-08-24,P014,1,3255,Cartago,Tarjeta
V0023,2026-08-24,P017,2,998,Cartago,Tarjeta
V0023,2026-08-24,P007,4,850,Cartago,Tarjeta
V0024,2026-09-07,P010,2,2940,Paraiso,Efectivo
V0025,2026-07-07,P022,3,3500,Paraiso,Transferencia
V0026,2026-01-14,P012,2,682,Paraiso,Efectivo
V0026,2026-01-14,P008,1,2730,Paraiso,Efectivo
V0026,2026-01-14,P019,3,2250,Paraiso,Efectivo
V0027,2026-02-10,P016,1,1200,Cartago,Efectivo
V0027,2026-02-10,P006,4,3200,Cartago,Efectivo
V0027,2026-02-10,P026,1,1600,Cartago,Efectivo
V0027,2026-02-10,P005,4,1418,Cartago,Efectivo
